Date,Tweets,clean_text
2021/4/14,RT @cleantechnica: Korean Report: LG?€?Magna Joint Venture On Verge Of Winning Contract For Apple Electric??Car https://t.co/OlPlq1Kjnu,rt cleantechnica korean report lg magna joint venture verge winning contract apple electric car http co olplq kjnu
2021/4/14,RT @BrentToderian: WOW ?€? France is offering car owners the chance to trade aging vehicles for ???2500 euro ($2975) toward the purchase of an?€?,rt brenttoderian wow france offering car owner chance trade aging vehicle euro toward purchase
2021/4/14,"RT @OfficeofSteve: Car Companies - We need to make fully electric vehicles
Dodge - People want their minivans super charged",rt officeofsteve car company need make fully electric vehicle dodge people want minivan super charged
2021/4/14,"Today another thought came to me while reading through Mr. @OlegFeldgajer ?€?s book A.I. Boogeyman?€? I was thinking that it is about time I started hunting for an electric car. So, let?€?s add this to my list of to-do?€?s! #greentech",today another thought came reading mr olegfeldgajer book boogeyman thinking time started hunting electric car let add list greentech
2021/4/14,RT @RulesImpact: Since we appear to be headed toward Electric Cars I wonder what is next maybe the Government will make Solar Cars they run?€?,rt rulesimpact since appear headed toward electric car wonder next maybe government make solar car run
2021/4/14,"RT @BNCommodities: Canadian startup Li-Cycle Corp. plans a third battery-recycling facility in North America, doubling its capacity in the?€?",rt bncommodities canadian startup li cycle corp plan third battery recycling facility north america doubling capacity
2021/4/14,@Flexellence2019 @TheTopGrant @XTheExiled @JCahnBBK He?€?s reformed I hear so I should have just tagged Emperor Electric Car originally,flexellence thetopgrant xtheexiled jcahnbbk reformed hear tagged emperor electric car originally
2021/4/14,RT @elba_62: @AudiUK And who mines the COBALT to produce this electric car that #savetheplanet but kulls the children of Congo as they slav?€?,rt elba_ audiuk mine cobalt produce electric car savetheplanet kulls child congo slav
2021/4/14,"RT @autocar: Oxford-based Electrogenic has revealed a 'world first' electric Triumph Stag and Morgan 4/4, both promise 150-mile range https?€?",rt autocar oxford based electrogenic revealed world first electric triumph stag morgan promise mile range http
2021/4/14,"RT @Bowenchris: Nice to see Liberal MPs suggest the Government should follow Labor?€?s lead and cut taxes on electric cars.

However, it woul?€?",rt bowenchris nice see liberal mp suggest government follow labor lead cut tax electric car however woul
2021/4/14,https://t.co/VSvjbdGYvP,http co vsvjbdgyvp
2021/4/14,"RT @Iancoll94354676: His electric car didn?€?t happen, he flogged his penthouse in Singapore at a loss, now he comes back here with bullshit?€?",rt iancoll electric car happen flogged penthouse singapore loss come back bullshit
2021/4/14,"Huawei to invest over USD 1 bln in self-driving, electric car components https://t.co/CrTLuG1A28",huawei invest usd bln self driving electric car component http co crtlug
2021/4/14,RT @designboom: world premier: @AudiOfficial Q4 e-tron aims to be the electric everyday car https://t.co/8jxVYAB8gh https://t.co/OwiLIm93fN,rt designboom world premier audiofficial q e tron aim electric everyday car http co jxvyab gh http co owilim fn
2021/4/14,Since we appear to be headed toward Electric Cars I wonder what is next maybe the Government will make Solar Cars they run when the Sun Shines so if you are in a Area where it Rains or Snows all the time you will not take your Car out very much at all you will be walking more.,since appear headed toward electric car wonder next maybe government make solar car run sun shine area rain snow time take car much walking
2021/4/14,"$XPEV  Motors launches sedan with new driverless features as EV race heats up.
https://t.co/Fx5Y3TbCsb",xpev motor launch sedan new driverless feature ev race heat http co fx tbcsb
2021/4/14,@votedave @friends_earth You didn't see the stuff about more buses and trains? Or electric car clubs?,votedave friends_earth see stuff bus train electric car club
2021/4/14,RT @PoliticsForAlI: ???????????? | NEW: France is offering car owners the chance to trade aging vehicles for ???2500 euros towards the purchase of an?€?,rt politicsforali new france offering car owner chance trade aging vehicle euro towards purchase
2021/4/14,@BLKMDL3 @Tesla @elonmusk ?€?Never buying anything else?€? is that ur first electric car?,blkmdl tesla elonmusk never buying anything else ur first electric car
2021/4/14,Just in case you're interested... https://t.co/jDrGr5ukkU,case interested http co jdrgr ukku
2021/4/14,@BrentToderian An electric car would be a better idea.,brenttoderian electric car would better idea
2021/4/14,RT @mashable: New 'long range' Polestar 2 electric car coming this year  https://t.co/MuyqGuGh1l,rt mashable new long range polestar electric car coming year http co muyqgugh l
2021/4/14,"RT @mashable: Chinese carmaker unveils the 'world's cheapest electric car,' starting at less than $9,000 https://t.co/5O5fal8zK3",rt mashable chinese carmaker unveils world cheapest electric car starting le http co fal zk
2021/4/14,"RT @fvigeland: France is offering car owners ???2500 (US$3k) to trade in their cars for an electric bike.

?€?For the first time, it?€?s recogniz?€?",rt fvigeland france offering car owner u k trade car electric bike first time recogniz
2021/4/14,RT @Paul_Willy_Will: @AudiUK A millionaires car like all good electric cars; unattainable by the common man.,rt paul_willy_will audiuk millionaire car like good electric car unattainable common man
2021/4/14,@FarmerrArden @mckennavininski This is the dumbest thing I?€?ve ever heard. Elon musk tried this when he first tried building an EV. He tried to take a car and replace the motor with an electric one and he ended up needing to completely redo 90% of the body. He concluded its more efficient to start from scratch,farmerrarden mckennavininski dumbest thing ever heard elon musk tried first tried building ev tried take car replace motor electric one ended needing completely redo body concluded efficient start scratch
2021/4/14,RT @sfwom1: It?€?s my car(e) free anniversary.  7 years ago today our family ditched the car and bought an electric bike from @newwheel https?€?,rt sfwom car e free anniversary year ago today family ditched car bought electric bike newwheel http
2021/4/14,"@POTUS WHY DO WE HAVE A $1.9 trillion Bill that gives more Money to Electric cars the Roads,Bridges, Airports. Last time I checked the Government wasn?€?t in the car Business! PRIVATE COMPANIES ARE! What the Heck! What trying to loose money like @BarackObama did on solar? Unreal",potus trillion bill give money electric car road bridge airport last time checked government car business private company heck trying loose money like barackobama solar unreal
2021/4/14,@PoliticsForAlI @Reuters If it was off an electric car...,politicsforali reuters electric car
